targetLPerDay,scale,dailyWh,whPerLiter,pvRatedW,pvAreaM2,batteryWh,nightWh,feasible,notes
0.5,1.2644768553193029,2761.2024507923343,5522.4049015846686,475.91451071609617,2.6439695039783122,2253.8293246264975,1427.4252389301153,true,"Linear scale of 24 h baseline specific energy (Wh/L); re-simulate before procurement."
1,2.5289537106386057,5522.4049015846686,5522.4049015846686,951.82902143219235,5.2879390079566244,4507.658649252995,2854.8504778602305,true,"Linear scale of 24 h baseline specific energy (Wh/L); re-simulate before procurement."
2,5.0579074212772115,11044.809803169337,5522.4049015846686,1903.6580428643847,10.575878015913249,9015.31729850599,5709.700955720461,true,"Linear scale of 24 h baseline specific energy (Wh/L); re-simulate before procurement."
3,7.5868611319158177,16567.214704754006,5522.4049015846686,2855.487064296577,15.863817023869872,13522.975947758985,8564.5514335806911,true,"Linear scale of 24 h baseline specific energy (Wh/L); re-simulate before procurement."
