id,parameterName,parameterValue,parameterUnit,passed,waterKg,litersPerDay,finalBusPowerW,finalBatterySoc
full-awg-T35C-RH50-peltier40W,Peltier power,40,W,true,0.013191496942038434,0.15829796330446122,NaN,0.90000000000000002
full-awg-T35C-RH50-peltier80W,Peltier power,80,W,true,0.026569214689880709,0.31883057627856848,NaN,0.90000000000000002
full-awg-T35C-RH50-peltier120W,Peltier power,120,W,true,0.04010848492208214,0.4813018190649857,NaN,0.90000000000000002
full-awg-T35C-RH50-peltier160W,Peltier power,160,W,true,0.053787968781501744,0.64545562537802093,NaN,0.90000000000000002
full-awg-T35C-RH50-peltier200W,Peltier power,200,W,true,0.067589203908065068,0.81107044689678087,NaN,0.90000000000000002
