step_index,simulation_time_utc,balance_type,input,output,storage_change,residual,absolute_tolerance,relative_tolerance,status
0,2026-01-01T00:00:00.0000000Z,energy,7997.4599949827698,5646.6922061210462,2350.7678174519024,-2.8590178771992214E-05,,,ok
0,2026-01-01T00:00:00.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
0,2026-01-01T00:00:00.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
0,2026-01-01T00:00:00.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
1,2026-01-01T00:00:01.0000000Z,energy,8010.1108839534645,5665.6756654175852,2344.4352470172707,-2.8481391382229049E-05,,,ok
1,2026-01-01T00:00:01.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
1,2026-01-01T00:00:01.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
1,2026-01-01T00:00:01.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
2,2026-01-01T00:00:02.0000000Z,energy,8022.7148905557906,5684.5887947368246,2338.1261241920984,-2.8373132408887614E-05,,,ok
2,2026-01-01T00:00:02.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
2,2026-01-01T00:00:02.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
2,2026-01-01T00:00:02.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
3,2026-01-01T00:00:03.0000000Z,energy,8035.2726231363858,5703.4323056928215,2331.8403457084569,-2.8264892534934916E-05,,,ok
3,2026-01-01T00:00:03.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
3,2026-01-01T00:00:03.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
3,2026-01-01T00:00:03.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
4,2026-01-01T00:00:04.0000000Z,energy,8047.7839965152862,5722.2062158069748,2325.5778088659354,-2.8157624001323711E-05,,,ok
4,2026-01-01T00:00:04.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
4,2026-01-01T00:00:04.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
4,2026-01-01T00:00:04.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
5,2026-01-01T00:00:05.0000000Z,energy,8060.249231660594,5740.9108481864641,2319.3384115248373,-2.8050707442162093E-05,,,ok
5,2026-01-01T00:00:05.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
5,2026-01-01T00:00:05.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
5,2026-01-01T00:00:05.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
6,2026-01-01T00:00:06.0000000Z,energy,8072.6685100338509,5759.5464858733812,2313.122052104507,-2.7944037356064655E-05,,,ok
6,2026-01-01T00:00:06.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
6,2026-01-01T00:00:06.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
6,2026-01-01T00:00:06.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
7,2026-01-01T00:00:07.0000000Z,energy,8085.0423207604399,5778.1137190188365,2306.9286295800921,-2.7838488676934503E-05,,,ok
7,2026-01-01T00:00:07.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
7,2026-01-01T00:00:07.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
7,2026-01-01T00:00:07.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
8,2026-01-01T00:00:08.0000000Z,energy,8097.3705635297247,5796.612547786809,2300.7580434758456,-2.7732929993362632E-05,,,ok
8,2026-01-01T00:00:08.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
8,2026-01-01T00:00:08.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
8,2026-01-01T00:00:08.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
9,2026-01-01T00:00:09.0000000Z,energy,8109.6534236056614,5815.0432573684093,2294.6101938649554,-2.7627703275356907E-05,,,ok
9,2026-01-01T00:00:09.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
9,2026-01-01T00:00:09.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
9,2026-01-01T00:00:09.0000000Z,electrical,219.1749376452226,71.734937645222615,147.43999999994412,5.5877080740174279E-11,,,ok
10,2026-01-01T00:00:10.0000000Z,energy,8121.891380687639,5833.4064268463626,2288.484981364687,-2.7523410608409904E-05,,,ok
10,2026-01-01T00:00:10.0000000Z,water,0.00099123016740387229,0.00079532407963482622,0.00019590608776903773,8.3483567281383841E-18,,,ok
10,2026-01-01T00:00:10.0000000Z,dry_air,0.14000000000000001,0.14000000000000001,0,0,,,ok
