timestamp_utc,ambient-source_outlet_dryAirMassFlow,ambient-source_outlet_humidityRatio,ambient-source_outlet_relativeHumidity,ambient-source_outlet_specificEnthalpy,ambient-source_outlet_temperature,balance_dryAir_residual,balance_electrical_residual,balance_energy_residual,balance_water_residual,condenser_liquid_out_massFlow,condenser_liquid_out_temperature,condenser_outlet_dryAirMassFlow,condenser_outlet_humidityRatio,condenser_outlet_relativeHumidity,condenser_outlet_specificEnthalpy,condenser_outlet_temperature,peltier-hot-side-hx_outlet_dryAirMassFlow,peltier-hot-side-hx_outlet_humidityRatio,peltier-hot-side-hx_outlet_relativeHumidity,peltier-hot-side-hx_outlet_specificEnthalpy,peltier-hot-side-hx_outlet_temperature,power-manager_bus_power,power-manager_curtailed_power,process-fan_outlet_dryAirMassFlow,process-fan_outlet_humidityRatio,process-fan_outlet_relativeHumidity,process-fan_outlet_specificEnthalpy,process-fan_outlet_temperature,pv-panel_electrical_power,pv-solar-radiation_outlet_irradiance,silica-gel-bed_outlet_dryAirMassFlow,silica-gel-bed_outlet_humidityRatio,silica-gel-bed_outlet_relativeHumidity,silica-gel-bed_outlet_specificEnthalpy,silica-gel-bed_outlet_temperature,solar-collector_outlet_dryAirMassFlow,solar-collector_outlet_humidityRatio,solar-collector_outlet_relativeHumidity,solar-collector_outlet_specificEnthalpy,solar-collector_outlet_temperature,solar-radiation_outlet_irradiance,water-tank_overflow_massFlow,water-tank_overflow_temperature
2026-01-01T00:00:00.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.8590178771992214E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0078343484602000982,15611.525395980467,288.45828886011634,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0042377250675164225,25611.5269201587,298.39711255879246,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,800,0,278.14999999999998
2026-01-01T00:00:01.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.8481391382229049E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0077102418139374119,15861.875877584982,288.7071077521465,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0041755069197994474,25861.873340641094,298.64592741454555,0.02,0.0098788738781568838,0.49666983282954102,50448.278751052465,298.27871027149638,800,0,278.14999999999998
2026-01-01T00:00:02.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.8373132408887614E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0075888030127258099,16111.260307801227,288.95496650287981,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0041145488382081713,26111.263271231561,298.893791632003,0.02,0.0098788738781568838,0.49289117623926193,50579.704720362075,298.40700899716296,800,0,278.14999999999998
2026-01-01T00:00:03.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.8264892534934916E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0074699527737596945,16359.703317903084,289.20188959290141,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0040548195895115293,26359.701150012446,299.14070962209593,0.02,0.0098788738781568838,0.48915683073895871,50710.71046050913,298.53489749290065,800,0,278.14999999999998
2026-01-01T00:00:04.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.8157624001323711E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0073536307295104242,16607.194892836236,289.44786706842689,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.003996288844512955,26607.191389374166,299.38668577022071,0.02,0.0098788738781568838,0.48546614671635724,50841.297315159274,298.66237707040295,800,0,278.14999999999998
2026-01-01T00:00:05.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.8050707442162093E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0072397710345300306,16853.740354760765,289.69290421905652,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0039389271483482331,26853.738376192639,299.63172443641531,0.02,0.0098788738781568838,0.48181848584084008,50971.466623681707,298.78944903716916,800,0,278.14999999999998
2026-01-01T00:00:06.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.7944037356064655E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0071283107056992296,17099.343080128008,289.93700440058524,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0038827058918697605,27099.34647200679,299.87582995553572,0.02,0.0098788738781568838,0.47821322083893875,51101.219721163085,298.91611469651792,800,0,278.14999999999998
2026-01-01T00:00:07.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.7838488676934503E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0070191818042434949,17344.021858013257,290.18018628714088,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0038275972840743078,27344.020013192898,300.11900663742921,0.02,0.0098788738781568838,0.47464973527484117,51230.557938421174,299.04237534760057,800,0,278.14999999999998
2026-01-01T00:00:08.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.7732929993362632E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0069123314502897038,17587.766034933462,290.42243929041609,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0037735743255316216,27587.763311139588,300.36125876710827,0.02,0.0098788738781568838,0.4711274233357825,51359.482602018543,299.16823228541449,800,0,278.14999999999998
2026-01-01T00:00:09.0000000Z,0.02,0.0098788738781568838,0.5,50316.431204604662,298.14999999999998,0,5.5877080740174279E-11,-2.7627703275356907E-05,8.3483567281383841E-18,0,278.14999999999998,0.02,8.356948970459278E-05,0.0068077019593225513,17830.579265192468,290.66376704235847,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,50,0,0.02,0.0098788738781568838,0.50049346163335795,50316.431204604662,298.14999999999998,216,800,0.02,8.356948970459278E-05,0.0037206107827747891,27830.58065241982,300.60259060492155,0.02,0.0098788738781568838,0.46764568962220127,51487.995034276173,299.29368680081643,800,0,278.14999999999998
