id,ambientTemperatureC,relativeHumidityPercent,passed,waterKg,litersPerDay,finalBusPowerW,finalBatterySoc
full-awg-T20C-RH30,20,30,true,0.0060050799638935908,0.072060959566723093,NaN,0.90000000000000002
full-awg-T20C-RH35,20,35,true,0.0076196615768470968,0.091435938922165158,NaN,0.90000000000000002
full-awg-T20C-RH40,20,40,true,0.0093828734056589022,0.11259448086790683,NaN,0.90000000000000002
full-awg-T20C-RH45,20,45,true,0.011208473152152445,0.13450167782582934,NaN,0.90000000000000002
full-awg-T20C-RH50,20,50,true,0.01314890542868453,0.15778686514421436,NaN,0.90000000000000002
full-awg-T20C-RH60,20,60,true,0.01713179697120194,0.20558156365442326,NaN,0.90000000000000002
full-awg-T25C-RH30,25,30,true,0.0094669475789243684,0.11360337094709241,NaN,0.90000000000000002
full-awg-T25C-RH35,25,35,true,0.011609780121432045,0.13931736145718454,NaN,0.90000000000000002
full-awg-T25C-RH40,25,40,true,0.013936895292264667,0.16724274350717599,NaN,0.90000000000000002
full-awg-T25C-RH45,25,45,true,0.016308752687845894,0.19570503225415073,NaN,0.90000000000000002
full-awg-T25C-RH50,25,50,true,0.020070276782234768,0.24084332138681722,NaN,0.90000000000000002
full-awg-T25C-RH60,25,60,true,0.026035791826850965,0.31242950192221158,NaN,0.90000000000000002
full-awg-T30C-RH30,30,30,true,0.013414384197259216,0.16097261036711058,NaN,0.90000000000000002
full-awg-T30C-RH35,30,35,true,0.018618686682975994,0.22342424019571194,NaN,0.90000000000000002
full-awg-T30C-RH40,30,40,true,0.02329040284546777,0.27948483414561326,NaN,0.90000000000000002
full-awg-T30C-RH45,30,45,true,0.027375860737229092,0.32851032884674913,NaN,0.90000000000000002
full-awg-T30C-RH50,30,50,true,0.030908541961303722,0.37090250353564469,NaN,0.90000000000000002
full-awg-T30C-RH60,30,60,true,0.036201718661556873,0.43442062393868247,NaN,0.90000000000000002
full-awg-T35C-RH30,35,30,true,0.02323024705998937,0.27876296471987244,NaN,0.90000000000000002
full-awg-T35C-RH35,35,35,true,0.028678677260775789,0.34414412712930947,NaN,0.90000000000000002
full-awg-T35C-RH40,35,40,true,0.033282478048542619,0.39938973658251142,NaN,0.90000000000000002
full-awg-T35C-RH45,35,45,true,0.037053734861135043,0.44464481833362052,NaN,0.90000000000000002
full-awg-T35C-RH50,35,50,true,0.04010848492208214,0.4813018190649857,NaN,0.90000000000000002
full-awg-T35C-RH60,35,60,true,0.043427124716875244,0.52112549660250296,NaN,0.90000000000000002
